    type_stands,X,Y,Easting,Northing,location_stand,no_stands,physical_condition,occupancy,expanded_capacity,security_safetyrating,lighting,protection_weather,large_development,ease_access,proximity_cyclenetwork,commercial,retail,residential,transportation,education,recreational,entertainment,restaurants,expanded_stands
Sheffield Stand,-6.265384108,53.33649172,315598.337,233182.223,"Wexford street, outside solo clothes shop.",3,High,65,66,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
Sheffield Stand,-6.276079416,53.34295923,314868.564,233884.686,Francis street outside reillys pharmacy ,3,High,85,66,Medium,High,Low,All,Good,Visible,,,,,,,,,2
Sheffield Stand,-6.293238848,53.34612577,313717.358,234209.605,Houston train station,8,High,50,65,High,High,Low,All,Good,Adjacent & Visible,,,,Yes,,,,,6
Sheffield Stand,-6.251306534,53.33771531,316532.673,233341.264,"Top of baggot street lower, end of pembroke street lower",5,High,90,60,High,High,Low,All,Good,Unknown,,,,,,,,,3
Sheffield Stand,-6.264303178,53.34296563,315652.815,233904.404,"Edge of exchequer street, outside pharmacy and rustic stone",13,High,90,60,High,High,Low,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Sheffield Stand,-6.267253608,53.34496807,315450.914,234122.466,"Essex street, outside zaytoon",4,High,85,60,High,High,Low,,Good,,,,Yes,,,,,Yes,2
Sheffield Stand,-6.26409933,53.3442603,315662.887,234048.808,"Dame street,  outside Nico's restaurant",5,High,100,60,High,High,Low,All,Good,Visible,,,,,,,,,3
Sheffield Stand,-6.260648668,53.34896464,315879.927,234577.911,"Prince's street north, outside penny's.",5,High,100,60,High,High,Low,All,Good,Visible,,,,,,,,,3
Sheffield Stand,-6.252918541,53.34181265,316414.144,233794.595,Leinster street south outside TCD Leinster street,5,High,100,60,High,High,Low,All,Good,Unknown,,,,,,,,,3
Railing,-6.266168654,53.33863779,315540.279,233419.773,Aungier street outside DIT,4,High,30,50,High,High,High,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
Railing,-6.267496347,53.34391522,315437.593,234004.91,Start of castle street,4,High,25,50,High,High,Low,All,Good,Visible,,,,,,,,,2
Railing,-6.258029491,53.34132903,316075.072,233732.458,"Molesworth street, ",4,High,90,50,Medium,High,Low,All,Good,Unknown,,,,,,,,,2
Sheffield Stand,-6.265747547,53.35051289,315536.215,234741.942,Parnell Streer outside Aldi,11,High,65,50,High,High,Low,All,Good,Adjacent & Visible,,Yes,,,,,Yes,,8
Sheffield Stand,-6.260790825,53.34894062,315870.526,234575.007,"Prince's street north, outside penny's",18,High,100,50,High,High,Low,All,Good,Visible,,,,,,,,,9
Sheffield Stand,-6.250971258,53.35126939,316518.041,234850.136,Talbot street outside wake cup,12,High,25,50,Medium,High,Low,All,Good,Unknown,,,,,,,,,6
Sheffield Stand,-6.269926429,53.35090915,315256.892,234779.286,"Capel Street, outside The Horse Shoe shop",6,High,79,50,High,High,Low,,Good,Visible,,Yes,,,Yes,,,,3
Sheffield Stand,-6.263267845,53.35177931,315697.898,234886.887,Parnell street outside king fisher restraunt.,4,High,80,50,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,2
Sheffield Stand,-6.263511926,53.34102076,315710.776,233689.256,"Johnstone place, outside pharmacy",6,High,92,50,High,High,Low,All,Good,Visible,,,,,,,,,3
Sheffield Stand,-6.265024692,53.33286797,315632.078,232779.547,"Camden street upper, outside damascus gate restaurant ",8,High,50,50,High,High,Low,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4
